HS_NO     NOTE
03024500 竹筴魚，生鮮或冷藏
030246   海鱺
03024600 海鱺，生鮮或冷藏
030247   劍旗魚
03024700 劍旗魚，生鮮或冷藏
030249   其他
03024910 秋刀魚，生鮮或冷藏
03024920 毛鱗魚，生鮮或冷藏
03024930 巴鰹，生鮮或冷藏
03024940 鰺及圓鰺，生鮮或冷藏
03024990 其他魚類，生鮮或冷藏
03025    －海鰗鰍科、歪尾鱈科、鱈科、鼠尾鱈科、黑鱈科、無鬚鱈科、稚鱈科及鰻鱗鱈科之魚類，第０３０２９１至０３０２９９目之可食用魚雜碎除外：
030251   鱈魚（大西洋鱈、格陵蘭鱈、大頭鱈）
03025100 鱈魚，生鮮或冷藏
030252   黑線鱈
03025200 黑線鱈，生鮮或冷藏
030253   綠青鱈（維納斯青鱈）
03025300 綠青鱈，生鮮或冷藏
030254   無鬚鱈、長鰭鱈（無鬚鱈屬、長鰭鱈屬）
03025400 無鬚鱈、長鰭鱈，生鮮或冷藏
030255   阿拉斯加狹鱈
03025500 阿拉斯加狹鱈，生鮮或冷藏
030256   藍鱈、南藍鱈
03025600 藍鱈、南藍鱈，生鮮或冷藏
030259   其他
03025900 其他魚類，生鮮或冷藏
03027    －吳郭魚（口孵非鯽屬）、鯰魚（巨鯰屬、鯰屬、鬍鯰屬、真鮰屬）、鯉魚（鯉屬、鯽屬、草魚、鰱屬、鯁屬、青魚、真卡特拉䰾、野鯪屬、哈氏紋唇魚、蘇門答臘細鬚䰾、魴屬）、鰻魚（鰻鱺屬）、尼羅河鱸（尼羅尖吻鱸）及鱧魚（鱧屬），第０３０２９１至０３０２９９目之可食用魚雜碎除外：
030271   吳郭魚（口孵非鯽屬）
03027100 吳郭魚，生鮮或冷藏
030272   鯰魚（巨鯰屬、鯰屬、鬍鯰屬、真鮰屬）
03027200 鯰魚，生鮮或冷藏
030273   鯉魚（鯉屬、鯽屬、草魚、鰱屬、鯁屬、青魚、真卡特拉䰾、野鯪屬、哈氏紋唇魚、蘇門答臘細鬚䰾、魴屬）
03027300 鯉魚，生鮮或冷藏
030274   鰻魚（鰻鱺屬）
03027400 鰻魚，生鮮或冷藏
030279   其他
03027900 其他魚類，生鮮或冷藏
03028    －其他魚，第０３０２９１至０３０２９９目之可食用魚雜碎除外︰
030281   角鯊及其他鯊魚
03028100 角鯊及其他鯊魚，生鮮或冷藏
030282   鰩及魟（鰩科）
03028200 鰩及魟，生鮮或冷藏
030283   美露鱈（犬牙南極魚屬）
03028300 美露鱈，生鮮或冷藏
030284   鱸魚（舌齒鱸屬）
03028400 鱸魚，生鮮或冷藏
030285   鯛魚（鯛科）
03028500 鯛魚，生鮮或冷藏
030289   其他
03028910 烏魚，生鮮或冷藏
03028920 黃魚，生鮮或冷藏
03028930 香魚（𫙮），生鮮或冷藏
03028951 鱔魚，生鮮或冷藏
03028952 海鰻，生鮮或冷藏
03028960 柳葉魚，生鮮或冷藏
03028970 鮟鱇魚、太平洋長身鱈魚、銀鱈，生鮮或冷藏
03028981 短擬鱸（藍色鱈魚），生鮮或冷藏
03028982 灰海荷鰮（丁香魚），生鮮或冷藏
03028984 其他鰺魚，生鮮或冷藏
03028985 其他鯖魚，生鮮或冷藏
03028989 其他魚類，生鮮或冷藏
03029    －魚肝、魚卵、魚白、魚鰭、魚頭、魚尾、魚鰾及其他可食用魚雜碎：
030291   魚肝、魚卵及魚白
03029110 魚肝，生鮮或冷藏
03029120 魚卵及魚白，生鮮或冷藏
030292   鯊魚翅
03029200 鯊魚翅，生鮮或冷藏
030299   其他
03029910 魚皮，生鮮或冷藏
03029920 魚尾及魚骨，生鮮或冷藏
03029990 魚頭、魚唇、魚鰾及其他魚雜碎，生鮮或冷藏
0303     冷凍魚（第０３０４節之切片及其他魚肉除外）
03031    －鮭鱒科，第０３０３９１至０３０３９９目之可食用魚雜碎除外︰
030311   紅鈎吻鮭
03031100 冷凍紅鈎吻鮭
030312   其他太平洋鮭（細鱗鈎吻鮭、鈎吻鮭、大鱗鈎吻鮭、銀鈎吻鮭、馬蘇鈎吻鮭及玫瑰鈎吻鮭）
03031200 其他冷凍太平洋鮭
